ID,Name,Country,Events_2025,Total_Heats,Tours
4711,Adrian Lopez Pena,Spain,0,0,
9519,Airam De Juan Pérez,Spain,0,0,
756,Aitor Cabandibar,Spain,0,0,
19221,Alaitz Castro Cabada,Spain,0,0,
15605,Alba Mediavilla,Spain,0,0,
4714,Alba Rodriguez Lloves,Spain,0,0,
7547,Alberto Fernandez,Spain,0,0,
7525,Alberto Martinez,Spain,0,0,
16092,Aldo Garcia,Spain,0,0,
13053,Alejandra Balboa,Spain,0,0,
7534,Alejandro Martinez Barona Jordan,Spain,0,0,
16123,Alejandro Montañés Gallardo,Spain,0,0,
15943,Alejandro Sancho,Spain,0,0,
15942,Alejandro Sancho,Spain,0,0,
20547,Alejo Ferreiro,Spain,0,0,
15930,Alejo Freitas,Spain,0,0,
19212,Alejo Linares,Spain,0,0,
19124,Alejo Valido,Spain,0,0,
17963,Alejo Valido Segura,Spain,0,0,
3944,Alex Bauduin,Spain,0,0,
14876,Alex Petit,Spain,0,0,
14376,Alex Vilalta,Spain,0,0,
7116,Alex Vilalta Espelt,Spain,0,0,
2221,Alexandro Diaz Luque,Spain,0,0,
15602,Alfonso Suarez,Spain,0,0,
19228,Alfonso Zamora,Spain,0,0,
15695,Ali El Mghari,Spain,0,0,
14576,Alicia Delgado,Spain,0,0,
13922,Alida Gonzalez Garcia,Spain,0,0,
16083,Àlvar Soro Duran,Spain,0,0,
13293,Alvaro Amor,Spain,0,0,
20000,Alvaro Casanova Del Cerro,Spain,0,0,
15745,Alvaro De La Fuente,Spain,0,0,
3768,Alvaro Fernandez Garcia,Spain,0,0,
8200,Alvaro Frojan Corral,Spain,0,0,
762,Alvaro Niglierina,Spain,0,0,
4966,Amaya Ruiz,Spain,0,0,
20546,Ana Piñón,Spain,0,0,
9988,Ander Idarranga,Spain,0,0,
15129,Ander Ugarte Jauregui,Spain,0,0,
15526,Andrea Plantada,Spain,0,0,
2649,Andy Criere,Spain,0,0,
19128,Ane Loreiro Cubero,Spain,0,0,
11436,Angela Ayesa,Spain,0,0,
13944,Anne Calderon,Spain,0,0,
7467,Antonio Fernandez,Spain,0,0,
7373,Antonio Gamero,Spain,0,0,
8216,Ariano Marques,Spain,0,0,
588,Aritz Aranburu,Spain,0,0,
9287,Arnau Riera,Spain,0,0,
7327,Asier Iriondo,Spain,0,0,
3773,Asier Ruiz De Gauna,Spain,0,0,
9295,Belen Botin,Spain,0,0,
15748,Berta Gáñez,Spain,0,0,
12628,Bianca Tye,Spain,0,0,
4987,Bilbao Batirtze,Spain,0,0,
4713,Blanca Olivares,Spain,0,0,
4710,Borja Crespan,Spain,0,0,
10494,Borja Cueto Cuesta,Spain,0,0,
7196,Borja Malvar,Spain,0,0,
4464,Bosco Ruiz Imbert,Spain,0,0,
19476,Bruno Lucas Cocco,Spain,0,0,
4993,Candela Azurza,Spain,0,0,
2903,Carla Alvarez,Spain,0,0,
20184,Carla Mendez Acebo,Spain,0,0,
18529,Carla Morera De La Vall,Spain,0,0,
9523,Carla Suárez,Spain,0,0,
7169,Carlos Fernandez,Spain,0,0,
1634,Carlos Marques,Spain,0,0,
15961,Carlos Quintero,Spain,0,0,
4708,Carlos vazquez,Spain,0,0,
14548,Carlota Barreras,Spain,0,0,
14552,Carlota Barreras,Spain,0,0,
13945,Carlota Barreras Tapias,Spain,0,0,
15092,Carlota Jauregui,Spain,0,0,
15568,Carmen Garay Irigoras,Spain,0,0,
13943,Carmen Mier Mallada,Spain,0,0,
8054,Casandra Castano,Spain,0,0,
13522,Casandra Castanos,Spain,0,0,
15915,Catalina Diaz Gomez,Spain,0,0,
1642,Chris Jimenez Garcia,Spain,0,0,
2235,Christian Jimenez,Spain,0,0,
16067,Claudia Prieto Sapena,Spain,0,0,
15947,Conor Donegan Santos,Spain,0,0,
19376,Cristina Collazo Castiñeira,Spain,0,0,
18702,Cristina De Llano Ozores,Spain,0,0,
16068,Cristina Iglesias,Spain,0,0,
4712,Cristina Rey,Spain,0,0,
16079,Cristóbal Llera,Spain,0,0,
5890,Cuco Molares,Spain,0,0,
17263,Damian Moro Ceballos,Spain,0,0,
20252,Danel Irisarri,Spain,0,0,
15449,Danel Lajas,Spain,0,0,
5899,Dani Alvite,Spain,0,0,
9351,Dani Aznar,Spain,0,0,
5900,Dani Garcia,Spain,0,0,
